customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,InternetService,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
7590-VHVEG,Female,0,Yes,No,1,No,DSL,Month-to-month,Yes,Electronic check,29.85,29.85,Yes
5575-GNVDE,Male,0,No,No,34,Yes,Fiber optic,One year,Yes,Electronic check,56.95,1889.50,No
3668-QPYBK,Male,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Mailed check,53.85,108.15,Yes
7795-CFOCW,Male,0,Yes,No,45,No,DSL,One year,No,Credit card (automatic),42.30,1840.75,No
9237-HQITU,Female,0,No,No,2,Yes,Fiber optic,Month-to-month,Yes,Electronic check,70.70,151.65,Yes
9305-CDSKC,Female,0,Yes,No,8,Yes,DSL,Month-to-month,Yes,Bank transfer (automatic),99.65,820.50,No
1452-KIOVK,Female,0,Yes,No,22,Yes,DSL,One year,No,Credit card (automatic),89.10,1949.40,No
6713-OKOMC,Female,0,Yes,Yes,10,Yes,Fiber optic,Month-to-month,Yes,Electronic check,29.75,301.90,Yes
7892-POOKP,Female,0,Yes,Yes,28,No,DSL,Two year,No,Bank transfer (automatic),56.95,1600.90,No
6388-TABGU,Male,0,No,No,62,Yes,Fiber optic,Month-to-month,Yes,Electronic check,99.65,6400.75,Yes
